month,ad_spend_search,ad_spend_sns,ad_spend_email,web_visits,new_customers,revenue
2023-07-01,128,73,25,27089,567,12912
2023-08-01,125,71,27,25767,530,12221
2023-09-01,133,76,23,27019,566,13000
2023-10-01,131,83,28,28601,611,13979
2023-11-01,152,93,27,33798,707,16119
2023-12-01,169,102,27,36725,780,17716
2024-01-01,112,66,26,23264,492,11317
2024-02-01,110,64,26,23509,506,11600
2024-03-01,124,75,29,26419,543,12626
2024-04-01,128,73,28,27162,585,13505
2024-05-01,130,76,29,27441,572,13111
2024-06-01,143,83,30,29757,625,14367
2024-07-01,138,85,30,30875,658,15022
2024-08-01,136,76,31,28594,613,14011
2024-09-01,145,87,26,30426,635,14485
2024-10-01,156,87,27,31715,678,15387
2024-11-01,172,101,30,37434,775,17606
2024-12-01,194,107,28,40180,847,19299
2025-01-01,118,70,31,24988,512,11744
2025-02-01,119,67,29,25710,540,12442
2025-03-01,136,82,30,29054,622,14231
2025-04-01,141,81,31,31081,667,15091
2025-05-01,148,84,31,32027,677,15312
2025-06-01,156,91,34,33640,692,15746
2025-07-01,158,95,30,33685,717,16398
2025-08-01,150,88,32,31367,646,14764
2025-09-01,154,96,34,34592,719,16306
2025-10-01,171,97,29,35516,736,16978
2025-11-01,197,110,32,41308,868,19834
2025-12-01,205,121,34,45177,963,21846
2026-01-01,136,79,35,28109,596,13855
2026-02-01,135,75,35,27900,574,13402
2026-03-01,146,87,34,31831,661,14998
2026-04-01,164,93,31,34108,724,16437
2026-05-01,159,92,33,33481,692,16020
2026-06-01,174,97,32,35852,759,17303
